top,base,comp stratigraphy,comp lithology,lithology secondary,lithology minor
286.8168,263.652,QUUU,glacial drift,,
263.652,211.5312,OPDC,dolostone,sandstone,
211.5312,183.1848,CJDN,sandstone,,
183.1848,171.6024,CSTL,siltstone,shale,dolomite
171.6024,134.4168,CTCG,sandstone,shale,dolomite
