top,base,comp stratigraphy,comp lithology,lithology secondary,lithology minor
286.99968,267.79728,QUUU,glacial drift,drift,
267.79728,209.58048,OPDC,dolostone,,
209.58048,181.23408,CJDN,sandstone,,
181.23408,167.82288,CSTL,siltstone,dolomite,
167.82288,123.62688,CTCG,sandstone,shale,dolomite
