top,base,comp stratigraphy,comp lithology,lithology secondary,lithology minor
286.99968,269.62608,QUUU,glacial drift,,
269.62608,209.27568,OPDC,dolostone,,
209.27568,181.84368,CJDN,sandstone,,
181.84368,167.51808,CSTL,dolostone,siltstone,shale
167.51808,126.67488,CTCG,sandstone,shale,dolomite
